Difficulty	Title	Slug	Source	Link
	Java for DSA	java-crash-course	algomaster	https://algomaster.io/learn/dsa/java-crash-course
	Python for DSA	python-crash-course	algomaster	https://algomaster.io/learn/dsa/python-crash-course
	C++ for DSA	cpp-crash-course	algomaster	https://algomaster.io/learn/dsa/cpp-crash-course
	C# for DSA	csharp-crash-course	algomaster	https://algomaster.io/learn/dsa/csharp-crash-course
	Go for DSA	go-crash-course	algomaster	https://algomaster.io/learn/dsa/go-crash-course
	JavaScript for DSA	javascript-crash-course	algomaster	https://algomaster.io/learn/dsa/javascript-crash-course
	TypeScript for DSA	typescript-crash-course	algomaster	https://algomaster.io/learn/dsa/typescript-crash-course
