Rating	ID	Title	Slug	Contest	QPos	Difficulty	AR	LCtags
1649.9728054796	1367	Linked List in Binary Tree	linked-list-in-binary-tree	weekly-contest-178	Q3	Medium	52.0%	Linked List,Tree,Depth-First Search,Binary Tree
1649.7120733311	2523	Closest Prime Numbers in Range	closest-prime-numbers-in-range	weekly-contest-326	Q4	Medium	51.8%	Math,Number Theory
1649.2000410344	2571	Minimum Operations to Reduce an Integer to 0	minimum-operations-to-reduce-an-integer-to-0	weekly-contest-333	Q2	Medium	62.4%	Dynamic Programming,Greedy,Bit Manipulation
1648.8089484210	3698	Split Array With Minimum Difference	split-array-with-minimum-difference	weekly-contest-469	Q2	Medium	33.6%	Array,Prefix Sum
1648.3540381514	2423	Remove Letter To Equalize Frequency	remove-letter-to-equalize-frequency	biweekly-contest-88	Q1	Easy	19.4%	Hash Table,String,Counting
1648.3417578820	870	Advantage Shuffle	advantage-shuffle	weekly-contest-93	Q3	Medium	54.6%	Array,Two Pointers,Greedy,Sorting
1648.0880791614	1975	Maximum Matrix Sum	maximum-matrix-sum	biweekly-contest-59	Q2	Medium	67.5%	Array,Greedy,Matrix
1647.5187130200	3709	Design Exam Scores Tracker	design-exam-scores-tracker	biweekly-contest-167	Q3	Medium	44.2%	Array,Binary Search,Design,Prefix Sum
1646.1943237127	1358	Number of Substrings Containing All Three Characters	number-of-substrings-containing-all-three-characters	biweekly-contest-20	Q3	Medium	73.7%	Hash Table,String,Sliding Window
1646.1765343383	2226	Maximum Candies Allocated to K Children	maximum-candies-allocated-to-k-children	weekly-contest-287	Q3	Medium	49.9%	Array,Binary Search
1645.0308414414	3153	Sum of Digit Differences of All Pairs	sum-of-digit-differences-of-all-pairs	weekly-contest-398	Q3	Medium	43.1%	Array,Hash Table,Math,Counting
1643.7450467383	3371	Identify the Largest Outlier in an Array	identify-the-largest-outlier-in-an-array	weekly-contest-426	Q2	Medium	36.3%	Array,Hash Table,Counting,Enumeration
1643.5283095007	2196	Create Binary Tree From Descriptions	create-binary-tree-from-descriptions	weekly-contest-283	Q3	Medium	81.7%	Array,Hash Table,Tree,Binary Tree
1643.1325351423	2024	Maximize the Confusion of an Exam	maximize-the-confusion-of-an-exam	biweekly-contest-62	Q3	Medium	70.0%	String,Binary Search,Sliding Window,Prefix Sum
