Rating	ID	Title	Slug	Contest	QPos	Difficulty	AR	LCtags
1802	1673	Find the Most Competitive Subsequence	find-the-most-competitive-subsequence	weekly-contest-217	Q2	Medium	53.1%	Array,Stack,Greedy,Monotonic Stack
1802	3703	Remove K-Balanced Substrings	remove-k-balanced-substrings	weekly-contest-470	Q3	Medium	32.8%	String,Stack,Simulation
1803	2934	Minimum Operations to Maximize Last Elements in Arrays	minimum-operations-to-maximize-last-elements-in-arrays	weekly-contest-371	Q3	Medium	44.0%	Array,Enumeration
1804	1953	Maximum Number of Weeks for Which You Can Work	maximum-number-of-weeks-for-which-you-can-work	weekly-contest-252	Q2	Medium	42.5%	Array,Greedy
1804	3742	Maximum Path Score in a Grid	maximum-path-score-in-a-grid	weekly-contest-475	Q3	Medium	53.8%	Array,Dynamic Programming,Matrix
1805	1080	Insufficient Nodes in Root to Leaf Paths	insufficient-nodes-in-root-to-leaf-paths	weekly-contest-140	Q3	Medium	55.1%	Tree,Depth-First Search,Binary Tree
1805	2096	Step-By-Step Directions From a Binary Tree Node to Another	step-by-step-directions-from-a-binary-tree-node-to-another	weekly-contest-270	Q3	Medium	56.4%	String,Tree,Depth-First Search,Binary Tree
1806	1035	Uncrossed Lines	uncrossed-lines	weekly-contest-134	Q3	Medium	65.3%	Array,Dynamic Programming
1806	3335	Total Characters in String After Transformations I	total-characters-in-string-after-transformations-i	weekly-contest-421	Q2	Medium	45.6%	Hash Table,Math,String,Dynamic Programming,Counting
1807	1073	Adding Two Negabinary Numbers	adding-two-negabinary-numbers	weekly-contest-139	Q3	Medium	37.9%	Array,Math
1807	1594	Maximum Non Negative Product in a Matrix	maximum-non-negative-product-in-a-matrix	weekly-contest-207	Q3	Medium	51.6%	Array,Dynamic Programming,Matrix
1807	3408	Design Task Manager	design-task-manager	biweekly-contest-147	Q2	Medium	48.9%	Hash Table,Design,Heap (Priority Queue),Ordered Set
1808	2302	Count Subarrays With Score Less Than K	count-subarrays-with-score-less-than-k	biweekly-contest-80	Q4	Hard	62.2%	Array,Binary Search,Sliding Window,Prefix Sum
1809	1230	Toss Strange Coins	toss-strange-coins	biweekly-contest-11	Q3	Medium	58.1%	Array,Math,Dynamic Programming,Probability and Statistics
1809	1519	Number of Nodes in the Sub-Tree With the Same Label	number-of-nodes-in-the-sub-tree-with-the-same-label	weekly-contest-198	Q2	Medium	55.4%	Hash Table,Tree,Depth-First Search,Breadth-First Search,Counting
