Rating	ID	Title	Tags
2300.1557840589	1697	Checking Existence of Edge Length Limited Paths	NONE
2301.0381658933	3600	Maximize Spanning Tree Stability with Upgrades	NONE
2301.2455211629	3398	Smallest Substring With Identical Characters I	NONE
2301.4069974024	2897	Apply Operations on Array to Maximize Sum of Squares	BIT_OPS
2302.2950547766	3859	Count Subarrays With K Distinct Integers	SUBARRAY_COUNT
2302.4005640818	2513	Minimize the Maximum of Two Arrays	GCD_LCM,MOD_ARITH
2303.1891955206	3455	Shortest Matching Substring	NONE
2304.3094138939	2242	Maximum Score of a Node Sequence	NONE
2305.4498281454	2306	Naming a Company	BIT_OPS
2306.8472649456	862	Shortest Subarray with Sum at Least K	NONE
2307.0161713185	1655	Distribute Repeating Integers	BITMASK
2308.6545905335	1617	Count Subtrees With Max Distance Between Cities	BITMASK
2309.7881448766	3405	Count the Number of Arrays with K Matching Adjacent Elements	PERM_COMB,MOD_ARITH
2310.3824631335	1959	Minimum Total Space Wasted With K Resizing Operations	NONE
2312.2207190263	3515	Shortest Path in a Weighted Tree	NONE
2312.9919953644	1857	Largest Color Value in a Directed Graph	NONE
2315.0547336936	2188	Minimum Time to Finish the Race	NONE
2315.6037017989	1187	Make Array Strictly Increasing	NONE
2323.1267940801	3251	Find the Count of Monotonic Pairs II	PERM_COMB,MOD_ARITH
2324.1192580053	2827	Number of Beautiful Integers in the Range	DIGIT_OPS,MOD_ARITH
2327.4743300299	2940	Find Building Where Alice and Bob Can Meet	NONE
2327.5726642605	3045	Count Prefix and Suffix Pairs II	NONE
2328.4294689238	882	Reachable Nodes In Subdivided Graph	NONE
2330.0340161395	3734	Lexicographically Smallest Palindromic Permutation Greater Than Target	PALINDROME
2330.6377193585	3621	Number of Integers With Popcount-Depth Equal to K I	BIT_OPS,DIGIT_OPS
2333.0078041754	1585	Check If String Is Transformable With Substring Sort Operations	NONE
2333.0621537307	1866	Number of Ways to Rearrange Sticks With K Sticks Visible	MOD_ARITH,PERM_COMB
2333.2401505813	1674	Minimum Moves to Make Array Complementary	CONTRIBUTION
2336.5202025025	3444	Minimum Increments for Target Multiples in an Array	GCD_LCM
2336.5210003185	1505	Minimum Possible Integer After at Most K Adjacent Swaps On Digits	DIGIT_OPS,PAIR_COUNT
2341.4506355884	810	Chalkboard XOR Game	GAME_THEORY,XOR
2343.9866471772	3547	Maximum Sum of Edge Values in a Graph	NONE
2344.3664724791	2478	Number of Beautiful Partitions	MOD_ARITH,PRIME
2345.1150536403	3826	Minimum Partition Score	NONE
2345.3418191684	1611	Minimum One Bit Operations to Make Integers Zero	BIT_OPS,TRICK
2346.5717839654	2258	Escape the Spreading Fire	NONE
2347.4483641639	3845	Maximum Subarray XOR with Bounded Range	XOR
2348.5159376523	1096	Brace Expansion II	NONE
2348.7273357105	2935	Maximum Strong Pair XOR II	XOR
2350.0380300939	837	New 21 Game	PROB
2350.7421492104	2920	Maximum Points After Collecting Coins From All Nodes	BIT_OPS
2350.9694374861	1713	Minimum Operations to Make a Subsequence	NONE
2351.2293628792	2999	Count the Number of Powerful Integers	DIGIT_OPS
2352.795754512	3530	Maximum Profit from Valid Topological Order in DAG	BITMASK
2354.5411153127	2719	Count of Integers	DIGIT_OPS,MOD_ARITH
2356.5811122453	1467	Probability of a Two Boxes Having The Same Number of Distinct Balls	PROB,PERM_COMB
2358.9669560824	1707	Maximum XOR With an Element From Array	XOR
2359.6837796886	3575	Maximum Good Subtree Score	BITMASK,MOD_ARITH
2362.6480880348	1520	Maximum Number of Non-Overlapping Substrings	NONE
2363.0240184484	2312	Selling Pieces of Wood	NONE
2363.5096568214	1755	Closest Subsequence Sum	TRICK
2364.3455634374	2203	Minimum Weighted Subgraph With the Required Paths	NONE
2364.3930657709	2132	Stamping the Grid	CONTRIBUTION
2364.6818184488	3388	Count Beautiful Splits in an Array	NONE
2364.8208393306	3177	Find the Maximum Length of a Good Subsequence II	NONE
2366.7099607655	1183	Maximum Number of Ones	AP_SUM
2367.4705934718	2801	Count Stepping Numbers in Range	DIGIT_OPS
2368.6674771307	2556	Disconnect Path in a Binary Matrix by at Most One Flip	TRICK
2370.3848537389	3260	Find the Largest Palindrome Divisible by K	PALINDROME,MOD_ARITH
2373.8124052261	3413	Maximum Coins From K Consecutive Bags	AP_SUM
2374.1850487395	1840	Maximum Building Height	TRICK
2375.0917527641	3518	Smallest Palindromic Rearrangement II	PALINDROME,PERM_COMB
2375.5647445059	3797	Count Routes to Climb a Rectangular Grid	MOD_ARITH
2375.9062896615	3399	Smallest Substring With Identical Characters II	NONE
2376.616945774	3816	Lexicographically Smallest String After Deleting Duplicate Characters	NONE
2376.8658923518	887	Super Egg Drop	AP_SUM,TRICK
2377.3895801187	854	K-Similar Strings	NONE
2377.8578983802	3680	Generate Schedule	NONE
2378.6234112504	757	Set Intersection Size At Least Two	NONE
2380.5983169295	2589	Minimum Time to Complete All Tasks	NONE
2381.2160234811	2334	Subarray With Elements Greater Than Varying Threshold	NONE
2381.479024858	956	Tallest Billboard	NONE
2381.6019709166	2468	Split Message Based on Limit	DIGIT_OPS,AP_SUM
2381.625583289	2577	Minimum Time to Visit a Cell In a Grid	PARITY
2382.24900347	3272	Find the Count of Good Integers	DIGIT_OPS,PERM_COMB
2383.7724811656	1521	Find a Value of a Mysterious Function Closest to Target	BIT_OPS
2384.3989621291	3841	Palindromic Path Queries in a Tree	PALINDROME,BITMASK
2385.8072128533	1349	Maximum Students Taking Exam	BITMASK
2386.8250706801	3448	Count Substrings Divisible By Last Digit	MOD_ARITH
2387.3525635254	2713	Maximum Strictly Increasing Cells in a Matrix	NONE
2387.9289198649	3116	Kth Smallest Amount With Single Denomination Combination	GCD_LCM,PERM_COMB,MOD_ARITH
2389.9634276167	1681	Minimum Incompatibility	BITMASK
2391.657270733	2322	Minimum Score After Removals on a Tree	BITMASK,XOR
2391.8086687918	818	Race Car	NONE
2392.0799451298	2172	Maximum AND Sum of Array	BITMASK
2395.8765531206	1825	Finding MK Average	NONE
2396.6267778669	808	Soup Servings	PROB
2396.6770372863	2818	Apply Operations to Maximize Score	PRIME,CONTRIBUTION,MOD_ARITH
2397.700544564	3504	Longest Palindrome After Substring Concatenation II	PALINDROME
2397.8728428256	2569	Handling Sum Queries After Update	NONE
2397.9722495587	2538	Difference Between Maximum and Minimum Price Sum	CONTRIBUTION
2398.613631879	3801	Minimum Cost to Merge Sorted Lists	NONE
2399.5729141925	920	Number of Music Playlists	MOD_ARITH
