Rating	ID	Title	Slug	Contest	QPos	Difficulty	AR	LCtags
1951	1259	Handshakes That Don't Cross	handshakes-that-dont-cross	biweekly-contest-13	Q4	Hard	59.9%	Math,Dynamic Programming
1951	1690	Stone Game VII	stone-game-vii	weekly-contest-219	Q3	Medium	58.8%	Array,Math,Dynamic Programming,Game Theory
1952	2435	Paths in Matrix Whose Sum Is Divisible by K	paths-in-matrix-whose-sum-is-divisible-by-k	weekly-contest-314	Q4	Hard	58.8%	Array,Dynamic Programming,Matrix
1953	1737	Change Minimum Characters to Satisfy One of Three Conditions	change-minimum-characters-to-satisfy-one-of-three-conditions	weekly-contest-225	Q2	Medium	37.9%	Hash Table,String,Counting,Prefix Sum
1953	2434	Using a Robot to Print the Lexicographically Smallest String	using-a-robot-to-print-the-lexicographically-smallest-string	weekly-contest-314	Q3	Medium	62.3%	Hash Table,String,Stack,Greedy
1953	3891	Minimum Increase to Maximize Special Indices	minimum-increase-to-maximize-special-indices	weekly-contest-496	Q3	Medium	19.6%	Array,Dynamic Programming,Greedy,Prefix Sum
1954	1696	Jump Game VI	jump-game-vi	weekly-contest-220	Q3	Medium	46.4%	Array,Dynamic Programming,Queue,Heap (Priority Queue),Monotonic Queue
1955	3599	Partition Array to Minimize XOR	partition-array-to-minimize-xor	weekly-contest-456	Q3	Medium	41.4%	Array,Dynamic Programming,Bit Manipulation,Prefix Sum
1957	1463	Cherry Pickup II	cherry-pickup-ii	biweekly-contest-27	Q4	Hard	72.4%	Array,Dynamic Programming,Matrix
1958	3720	Lexicographically Smallest Permutation Greater Than Target	lexicographically-smallest-permutation-greater-than-target	weekly-contest-472	Q3	Medium	26.8%	Hash Table,String,Greedy,Counting,Enumeration
1959	2564	Substring XOR Queries	substring-xor-queries	weekly-contest-332	Q3	Medium	35.7%	Array,Hash Table,String,Bit Manipulation
1959	3593	Minimum Increments to Equalize Leaf Paths	minimum-increments-to-equalize-leaf-paths	weekly-contest-455	Q3	Medium	41.3%	Array,Dynamic Programming,Tree,Depth-First Search
1961	1537	Get the Maximum Score	get-the-maximum-score	weekly-contest-200	Q4	Hard	41.1%	Array,Two Pointers,Dynamic Programming,Greedy
1961	2350	Shortest Impossible Sequence of Rolls	shortest-impossible-sequence-of-rolls	biweekly-contest-83	Q4	Hard	69.2%	Array,Hash Table,Greedy
1961	2392	Build a Matrix With Conditions	build-a-matrix-with-conditions	weekly-contest-308	Q4	Hard	79.3%	Array,Graph Theory,Topological Sort,Matrix
1962	1642	Furthest Building You Can Reach	furthest-building-you-can-reach	weekly-contest-213	Q3	Medium	50.9%	Array,Greedy,Heap (Priority Queue)
1962	802	Find Eventual Safe States	find-eventual-safe-states	weekly-contest-76	Q3	Medium	70.8%	Depth-First Search,Breadth-First Search,Graph Theory,Topological Sort
