Rating	ID	Title	Slug	Contest	QPos	Difficulty	AR	LCtags
1549.9747683007	2780	Minimum Index of a Valid Split	minimum-index-of-a-valid-split	weekly-contest-354	Q3	Medium	75.5%	Array,Hash Table,Sorting
1549.9450401840	2527	Find Xor-Beauty of Array	find-xor-beauty-of-array	biweekly-contest-95	Q3	Medium	70.8%	Array,Math,Bit Manipulation
1548.8661885602	3932	Count K-th Roots in a Range	count-k-th-roots-in-a-range	weekly-contest-502	Q2	Medium	24.2%	Math,Binary Search
1548.4678056182	1329	Sort the Matrix Diagonally	sort-the-matrix-diagonally	biweekly-contest-18	Q3	Medium	83.2%	Array,Sorting,Matrix
1548.3921113773	3587	Minimum Adjacent Swaps to Alternate Parity	minimum-adjacent-swaps-to-alternate-parity	biweekly-contest-159	Q1	Medium	42.4%	Array,Greedy
1548.1751146981	2456	Most Popular Video Creator	most-popular-video-creator	weekly-contest-317	Q2	Medium	45.4%	Array,Hash Table,String,Sorting,Heap (Priority Queue)
1548.1728797968	3503	Longest Palindrome After Substring Concatenation I	longest-palindrome-after-substring-concatenation-i	weekly-contest-443	Q2	Medium	43.9%	Two Pointers,String,Dynamic Programming,Enumeration
1548.0854419238	1599	Maximum Profit of Operating a Centennial Wheel	maximum-profit-of-operating-a-centennial-wheel	weekly-contest-208	Q2	Medium	44.6%	Array,Simulation
1548.0314387523	3885	Design Event Manager	design-event-manager	weekly-contest-495	Q2	Medium	50.8%	Array,Hash Table,Design,Heap (Priority Queue),Ordered Set
1547.5714796512	954	Array of Doubled Pairs	array-of-doubled-pairs	weekly-contest-114	Q2	Medium	39.8%	Array,Hash Table,Greedy,Sorting
1547.0385279086	758	Bold Words in String	bold-words-in-string	weekly-contest-66	Q2	Medium	52.5%	Array,Hash Table,String,Trie,String Matching
1546.5755826126	3770	Largest Prime from Consecutive Prime Sum	largest-prime-from-consecutive-prime-sum	weekly-contest-479	Q2	Medium	39.2%	Array,Math,Number Theory
1545.9654593951	2841	Maximum Sum of Almost Unique Subarray	maximum-sum-of-almost-unique-subarray	biweekly-contest-112	Q3	Medium	41.2%	Array,Hash Table,Sliding Window
1544.8911121275	3468	Find the Number of Copy Arrays	find-the-number-of-copy-arrays	biweekly-contest-151	Q2	Medium	47.0%	Array,Math
1544.8391626032	1104	Path In Zigzag Labelled Binary Tree	path-in-zigzag-labelled-binary-tree	weekly-contest-143	Q2	Medium	75.8%	Math,Tree,Binary Tree
1544.8261365027	1233	Remove Sub-Folders from the Filesystem	remove-sub-folders-from-the-filesystem	weekly-contest-159	Q2	Medium	78.6%	Array,String,Depth-First Search,Trie
1544.6371526659	794	Valid Tic-Tac-Toe State	valid-tic-tac-toe-state	weekly-contest-74	Q1	Medium	34.8%	Array,Matrix
1543.1204810684	2811	Check if it is Possible to Split Array	check-if-it-is-possible-to-split-array	weekly-contest-357	Q2	Medium	34.5%	Array,Dynamic Programming,Greedy
1542.5630367445	812	Largest Triangle Area	largest-triangle-area	weekly-contest-79	Q1	Easy	71.6%	Array,Math,Geometry
1541.7840320661	1283	Find the Smallest Divisor Given a Threshold	find-the-smallest-divisor-given-a-threshold	weekly-contest-166	Q3	Medium	66.0%	Array,Binary Search
1541.6944600975	986	Interval List Intersections	interval-list-intersections	weekly-contest-122	Q3	Medium	73.0%	Array,Two Pointers,Sweep Line
1541.6176288991	1749	Maximum Absolute Sum of Any Subarray	maximum-absolute-sum-of-any-subarray	biweekly-contest-45	Q2	Medium	71.0%	Array,Dynamic Programming
1541.5405749918	1209	Remove All Adjacent Duplicates in String II	remove-all-adjacent-duplicates-in-string-ii	weekly-contest-156	Q3	Medium	61.3%	String,Stack
1541.5352218724	3537	Fill a Special Grid	fill-a-special-grid	weekly-contest-448	Q2	Medium	70.9%	Array,Divide and Conquer,Matrix
1541.3741526845	2575	Find the Divisibility Array of a String	find-the-divisibility-array-of-a-string	weekly-contest-334	Q2	Medium	36.5%	Array,Math,String
1541.3484385090	1007	Minimum Domino Rotations For Equal Row	minimum-domino-rotations-for-equal-row	weekly-contest-127	Q3	Medium	56.5%	Array,Greedy
1541.2260256298	1229	Meeting Scheduler	meeting-scheduler	biweekly-contest-11	Q2	Medium	55.2%	Array,Two Pointers,Sorting
1540.8447688369	3128	Right Triangles	right-triangles	biweekly-contest-129	Q2	Medium	48.8%	Array,Hash Table,Math,Combinatorics,Counting
1540.5750839091	1382	Balance a Binary Search Tree	balance-a-binary-search-tree	weekly-contest-180	Q3	Medium	86.3%	Divide and Conquer,Greedy,Tree,Depth-First Search,Binary Search Tree,Binary Tree
1540.2351411176	2349	Design a Number Container System	design-a-number-container-system	biweekly-contest-83	Q3	Medium	57.1%	Hash Table,Design,Heap (Priority Queue),Ordered Set
1539.2250193318	1992	Find All Groups of Farmland	find-all-groups-of-farmland	biweekly-contest-60	Q2	Medium	75.5%	Array,Depth-First Search,Breadth-First Search,Matrix
1538.2331497040	2178	Maximum Split of Positive Even Integers	maximum-split-of-positive-even-integers	biweekly-contest-72	Q3	Medium	59.7%	Math,Backtracking,Greedy
1537.1387686755	1023	Camelcase Matching	camelcase-matching	weekly-contest-131	Q3	Medium	65.4%	Array,Two Pointers,String,Trie,String Matching
1536.7018543075	1861	Rotating the Box	rotating-the-box	biweekly-contest-52	Q3	Medium	82.5%	Array,Two Pointers,Matrix
1536.5893223179	2933	High-Access Employees	high-access-employees	weekly-contest-371	Q2	Medium	47.5%	Array,Hash Table,String,Sorting
1536.5526318546	3723	Maximize Sum of Squares of Digits	maximize-sum-of-squares-of-digits	biweekly-contest-168	Q2	Medium	59.0%	Math,Greedy
1535.3680469616	2958	Length of Longest Subarray With at Most K Frequency	length-of-longest-subarray-with-at-most-k-frequency	biweekly-contest-119	Q3	Medium	56.6%	Array,Hash Table,Sliding Window
1534.4194646850	3890	Integers With Multiple Sum of Two Cubes	integers-with-multiple-sum-of-two-cubes	weekly-contest-496	Q2	Medium	55.6%	Hash Table,Sorting,Counting,Enumeration
1534.3250051510	865	Smallest Subtree with all the Deepest Nodes	smallest-subtree-with-all-the-deepest-nodes	weekly-contest-92	Q2	Medium	77.6%	Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree
1534.0648719302	1797	Design Authentication Manager	design-authentication-manager	biweekly-contest-48	Q2	Medium	58.6%	Hash Table,Linked List,Design,Doubly-Linked List
1533.9285875234	1362	Closest Divisors	closest-divisors	weekly-contest-177	Q3	Medium	62.2%	Math
1533.5722750742	3016	Minimum Number of Pushes to Type Word II	minimum-number-of-pushes-to-type-word-ii	weekly-contest-381	Q3	Medium	80.0%	Hash Table,String,Greedy,Sorting,Counting
1533.4738366200	2770	Maximum Number of Jumps to Reach the Last Index	maximum-number-of-jumps-to-reach-the-last-index	weekly-contest-353	Q2	Medium	50.9%	Array,Dynamic Programming
1533.3376144199	1930	Unique Length-3 Palindromic Subsequences	unique-length-3-palindromic-subsequences	weekly-contest-249	Q2	Medium	73.8%	Hash Table,String,Bit Manipulation,Prefix Sum
1532.3349133769	2429	Minimize XOR	minimize-xor	weekly-contest-313	Q3	Medium	62.4%	Greedy,Bit Manipulation
1532.2539947529	900	RLE Iterator	rle-iterator	weekly-contest-101	Q1	Medium	59.3%	Array,Design,Counting,Iterator
